model,setting,threshold,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp
lightgbm,default_0.5,0.5,0.8709677419354839,0.7297297297297297,0.7941176470588235,0.8828017663133026,0.7160881657535132,42640,8,20,54
lightgbm,tuned,0.8400000000000001,0.8852459016393442,0.7297297297297297,0.8,0.8828017663133026,0.7160881657535132,42641,7,20,54
