model,setting,threshold,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp
logistic_regression,default_0.5,0.5,0.06714876033057851,0.8783783783783784,0.12476007677543186,0.9679722632029891,0.7928733741399766,41745,903,9,65
logistic_regression,tuned,0.99,0.6741573033707865,0.8108108108108109,0.7361963190184049,0.9679722632029891,0.7928733741399766,42619,29,14,60
