model,split,setting,threshold,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp
lightgbm,val,default_0.5,0.5,0.8412698412698413,0.7162162162162162,0.7737226277372263,0.9287691095790142,0.6289299179337815,42637,10,21,53
lightgbm,val,review_p>=0.10,0.01,0.7638888888888888,0.7432432432432432,0.7534246575342466,0.9287691095790142,0.6289299179337815,42630,17,19,55
lightgbm,val,high_p>=0.80,0.45,0.84375,0.7297297297297297,0.782608695652174,0.9287691095790142,0.6289299179337815,42637,10,20,54
